slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
aptos-indexer-mainnet-free,Aptos,,"[""[Docs](https://aptos.dev/build/indexer)""]",,Free,Pruned,RPC,Aptos REST,mainnet,$0,$0,FALSE,FALSE,,"[""Rate limits"",""Limited Customization""]","[""On-chain governance"",""Decentralized validator system"",""Compliance and security standards"",""Parallel execution and modular architecture""]","[""Real-time tracking"",""Historical analysis"",""Performance reporting""]","[""USA"",""Germany"",""Singapore""]","[""Custom Contract Indexing"",""Transaction Stream Service"",""Legacy Indexer Support""]",,,,NULL,,NULL,,NULL,
aptos-indexer-testnet-free,Aptos,,"[""[Docs](https://aptos.dev/build/indexer)""]",,Free,Pruned,RPC,Aptos REST,testnet,$0,$0,FALSE,FALSE,,"[""Rate limits"",""Limited Customization""]","[""On-chain governance"",""Decentralized validator system"",""Compliance and security standards"",""Parallel execution and modular architecture""]","[""Real-time tracking"",""Historical analysis"",""Performance reporting""]","[""USA"",""Germany"",""Singapore""]","[""Custom Contract Indexing"",""Transaction Stream Service"",""Legacy Indexer Support""]",,,,NULL,,NULL,,NULL,
blockdaemon-mainnet-dedicated-recent-state,,!offer:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/aptos)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockdaemon-testnet-dedicated-recent-state,,!offer:blockdaemon-dedicated-recent-state,"[""[Website](https://www.blockdaemon.com/protocols/aptos)"",""[Docs](https://docs.blockdaemon.com/docs/aptos)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-basic-recent-state,,!offer:blockeden-basic-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-50-recent-state,,!offer:blockeden-enterprise-50-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-enterprise-500-recent-state,,!offer:blockeden-enterprise-500-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-free-recent-state,,!offer:blockeden-free-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-mainnet-pro-recent-state,,!offer:blockeden-pro-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
blockeden-testnet-basic-recent-state,,!offer:blockeden-basic-recent-state,,,,,,,testnet,,,,,,,,,,,,,,,,,,,
